1010101	北京
1010102	海淀
1010103	朝阳
1010104	顺义
1010105	怀柔
1010106	通州
1010107	昌平
1010108	延庆
1010109	丰台
1010110	石景山
1010111	大兴
1010112	房山
1010113	密云
1010114	门头沟
1010115	平谷
1010201	上海
1010202	闵行
1010203	宝山
1010205	嘉定
1010206	南汇
1010207	金山
1010208	青浦
1010209	松江
1010210	奉贤
1010211	崇明
1010212	徐家汇
1010213	浦东
1010301	天津
1010302	武清
1010303	宝坻
1010304	东丽
1010305	西青
1010306	北辰
1010307	宁河
1010308	汉沽
1010309	静海
1010310	津南
1010311	塘沽
1010312	大港
1010314	蓟县
1010401	重庆
1010402	永川
1010403	合川
1010404	南川
1010405	江津
1010406	万盛
1010407	渝北
1010408	北碚
1010409	巴南
1010410	长寿
1010411	黔江
1010413	万州
1010414	涪陵
1010415	开县
1010416	城口
1010417	云阳
1010418	巫溪
1010419	奉节
1010420	巫山
1010421	潼南
1010422	垫江
1010423	梁平
1010424	忠县
1010425	石柱
1010426	大足
1010427	荣昌
1010428	铜梁
1010429	璧山
1010430	丰都
1010431	武隆
1010432	彭水
1010433	綦江
1010434	酉阳
1010436	秀山
1010501	哈尔滨
1010502	齐齐哈尔
1010503	牡丹江
1010504	佳木斯
1010505	绥化
1010506	黑河
1010507	大兴安岭
1010508	伊春
1010509	大庆
1010510	七台河
1010511	鸡西
1010512	鹤岗
1010513	双鸭山
1010601	长春
1010602	吉林
1010603	延边
1010604	四平
1010605	通化
1010606	白城
1010607	辽源
1010608	松原
1010609	白山
1010701	沈阳
1010702	大连
1010703	鞍山
1010704	抚顺
1010705	本溪
1010706	丹东
1010707	锦州
1010708	营口
1010709	阜新
1010710	辽阳
1010711	铁岭
1010712	朝阳
1010713	盘锦
1010714	葫芦岛
1010801	呼和浩特
1010802	包头
1010803	乌海
1010804	乌兰察布
1010805	通辽
1010806	赤峰
1010807	鄂尔多斯
1010808	巴彦淖尔
1010809	锡林郭勒
1010810	呼伦贝尔
1010811	兴安盟
1010812	阿拉善盟
1010901	石家庄
1010902	保定
1010903	张家口
1010904	承德
1010905	唐山
1010906	廊坊
1010907	沧州
1010908	衡水
1010909	邢台
1010910	邯郸
1010911	秦皇岛
1011001	太原
1011002	大同
1011003	阳泉
1011004	晋中
1011005	长治
1011006	晋城
1011007	临汾
1011008	运城
1011009	朔州
1011010	忻州
1011011	吕梁
1011101	西安
1011102	咸阳
1011103	延安
1011104	榆林
1011105	渭南
1011106	商洛
1011107	安康
1011108	汉中
1011109	宝鸡
1011110	铜川
1011111	杨凌
1011201	济南
1011202	青岛
1011203	淄博
1011204	德州
1011205	烟台
1011206	潍坊
1011207	济宁
1011208	泰安
1011209	临沂
1011210	菏泽
1011211	滨州
1011212	东营
1011213	威海
1011214	枣庄
1011215	日照
1011216	莱芜
1011217	聊城
1011301	乌鲁木齐
1011302	克拉玛依
1011303	石河子
1011304	昌吉
1011305	吐鲁番
1011306	巴州
1011307	阿拉尔
1011308	阿克苏
1011309	喀什
1011310	伊犁
1011311	塔城
1011312	哈密
1011313	和田
1011314	阿勒泰
1011315	克州
1011316	博州
1011401	拉萨
1011402	日喀则
1011403	山南
1011404	林芝
1011405	昌都
1011406	那曲
1011407	阿里
1011501	西宁
1011502	海东
1011503	黄南
1011504	海南
1011505	果洛
1011506	玉树
1011507	海西
1011508	海北
1011509	格尔木
1011601	兰州
1011602	定西
1011603	平凉
1011604	庆阳
1011605	武威
1011606	金昌
1011607	张掖
1011608	酒泉
1011609	天水
1011610	陇南
1011611	临夏
1011612	甘南
1011613	白银
1011614	嘉峪关
1011701	银川
1011702	石嘴山
1011703	吴忠
1011704	固原
1011705	中卫
1011801	郑州
1011802	安阳
1011803	新乡
1011804	许昌
1011805	平顶山
1011806	信阳
1011807	南阳
1011808	开封
1011809	洛阳
1011810	商丘
1011811	焦作
1011812	鹤壁
1011813	濮阳
1011814	周口
1011815	漯河
1011816	驻马店
1011817	三门峡
1011818	济源
1011901	南京
1011902	无锡
1011903	镇江
1011904	苏州
1011905	南通
1011906	扬州
1011907	盐城
1011908	徐州
1011909	淮安
1011910	连云港
1011911	常州
1011912	泰州
1011913	宿迁
1012001	武汉
1012002	襄阳
1012003	鄂州
1012004	孝感
1012005	黄冈
1012006	黄石
1012007	咸宁
1012008	荆州
1012009	宜昌
1012010	恩施
1012011	十堰
1012012	神农架
1012013	随州
1012014	荆门
1012015	天门
1012016	仙桃
1012017	潜江
1012101	杭州
1012102	湖州
1012103	嘉兴
1012104	宁波
1012105	绍兴
1012106	台州
1012107	温州
1012108	丽水
1012109	金华
1012110	衢州
1012111	舟山
1012201	合肥
1012202	蚌埠
1012203	芜湖
1012204	淮南
1012205	马鞍山
1012206	安庆
1012207	宿州
1012208	阜阳
1012209	亳州
1012210	黄山
1012211	滁州
1012212	淮北
1012213	铜陵
1012214	宣城
1012215	六安
1012216	巢湖
1012217	池州
1012301	福州
1012302	厦门
1012303	宁德
1012304	莆田
1012305	泉州
1012306	漳州
1012307	龙岩
1012308	三明
1012309	南平
1012401	南昌
1012402	九江
1012403	上饶
1012404	抚州
1012405	宜春
1012406	吉安
1012407	赣州
1012408	景德镇
1012409	萍乡
1012410	新余
1012411	鹰潭
1012501	长沙
1012502	湘潭
1012503	株洲
1012504	衡阳
1012505	郴州
1012506	常德
1012507	益阳
1012508	娄底
1012509	邵阳
1012510	岳阳
1012511	张家界
1012512	怀化
1012514	永州
1012515	湘西
1012601	贵阳
1012602	遵义
1012603	安顺
1012604	黔南
1012605	黔东南
1012606	铜仁
1012607	毕节
1012608	六盘水
1012609	黔西南
1012701	成都
1012702	攀枝花
1012703	自贡
1012704	绵阳
1012705	南充
1012706	达州
1012707	遂宁
1012708	广安
1012709	巴中
1012710	泸州
1012711	宜宾
1012712	内江
1012713	资阳
1012714	乐山
1012715	眉山
1012716	凉山
1012717	雅安
1012718	甘孜
1012719	阿坝
1012720	德阳
1012721	广元
1012801	广州
1012802	韶关
1012803	惠州
1012804	梅州
1012805	汕头
1012806	深圳
1012807	珠海
1012808	佛山
1012809	肇庆
1012810	湛江
1012811	江门
1012812	河源
1012813	清远
1012814	云浮
1012815	潮州
1012816	东莞
1012817	中山
1012818	阳江
1012819	揭阳
1012820	茂名
1012821	汕尾
1012901	昆明
1012902	大理
1012903	红河
1012904	曲靖
1012905	保山
1012906	文山
1012907	玉溪
1012908	楚雄
1012909	普洱
1012910	昭通
1012911	临沧
1012912	怒江
1012913	迪庆
1012914	丽江
1012915	德宏
1012916	西双版纳
1013001	南宁
1013002	崇左
1013003	柳州
1013004	来宾
1013005	桂林
1013006	梧州
1013007	贺州
1013008	贵港
1013009	玉林
1013010	百色
1013011	钦州
1013012	河池
1013013	北海
1013014	防城港
1013101	海口
1013102	三亚
1013201	香港
1013301	澳门
1013401	台北
1013402	高雄
1013404	台中
